near-normal,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
100,d_19030301,0,0,0,0,0,0,0,0,0,0,0
85.7,d_19030401,0,0,0,0,0,0,14.3,0,0,0,0
96.4,d_19030501,0,0,0,0,0,0,3.6,0,0,0,0
93.3,d_19030601,0,0,0,0,0,0,6.7,0,0,0,0
89.4,d_19030701,0,0,0,0,0,0,10.6,0,0,0,0
100,d_19030801,0,0,0,0,0,0,0,0,0,0,0
100,d_19030901,0,0,0,0,0,0,0,0,0,0,0
48.6,d_19031001,0,0,0,0,0,0,51.4,0,0,0,0
0,d_19031101,0,0,0,0,0,0,100,57.3,0,0,0
0,d_19031201,100,96,0,0,0,0,0,0,0,0,0
0,d_19040101,100,100,100,100,100,0,0,0,0,0,0
0,d_19040201,100,100,83.1,26.4,0,0,0,0,0,0,0
0,d_19040301,100,76.8,0,0,0,0,0,0,0,0,0
0,d_19040401,100,32.5,0,0,0,0,0,0,0,0,0
0,d_19040501,100,62.3,0,0,0,0,0,0,0,0,0
0,d_19040601,100,49.6,0,0,0,0,0,0,0,0,0
0,d_19040701,100,23.6,0,0,0,0,0,0,0,0,0
81,d_19040801,19,0,0,0,0,0,0,0,0,0,0
100,d_19040901,0,0,0,0,0,0,0,0,0,0,0
0.5,d_19041001,0,0,0,0,0,0,99.5,4.3,0,0,0
91.8,d_19041101,0,0,0,0,0,0,8.2,0,0,0,0
100,d_19041201,0,0,0,0,0,0,0,0,0,0,0
100,d_19050101,0,0,0,0,0,0,0,0,0,0,0
10.4,d_19050201,0,0,0,0,0,0,89.6,4.2,0,0,0
0,d_19050301,0,0,0,0,0,0,100,100,0,0,0
0,d_19050401,0,0,0,0,0,0,100,80.8,0,0,0
0,d_19050501,0,0,0,0,0,0,100,100,0,0,0
0,d_19050601,0,0,0,0,0,0,100,90.7,0,0,0
0,d_19050701,0,0,0,0,0,0,100,99.8,0,0,0
0,d_19050801,0,0,0,0,0,0,100,100,1,0,0
0,d_19050901,0,0,0,0,0,0,100,100,1.3,0,0
0,d_19051001,0,0,0,0,0,0,99.9,99.9,76,1,0
0,d_19051101,0,0,0,0,0,0,100,100,0,0,0
25,d_19051201,75,0,0,0,0,0,0,0,0,0,0
100,d_19060101,0,0,0,0,0,0,0,0,0,0,0
2.3,d_19060201,97.7,0,0,0,0,0,0,0,0,0,0
96.2,d_19060301,0,0,0,0,0,0,3.8,0,0,0,0
97.7,d_19060401,0,0,0,0,0,0,2.3,0,0,0,0
67.1,d_19060501,0,0,0,0,0,0,32.9,0,0,0,0
70,d_19060601,0,0,0,0,0,0,30,0,0,0,0
22.8,d_19060701,0,0,0,0,0,0,77.1,0.1,0,0,0
27.4,d_19060801,0,0,0,0,0,0,72.6,0,0,0,0
0,d_19060901,0,0,0,0,0,0,100,88.7,0,0,0
0,d_19061001,0,0,0,0,0,0,100,99.3,0,0,0
0,d_19061101,0,0,0,0,0,0,100,100,77.7,0,0
0,d_19061201,0,0,0,0,0,0,100,99.7,15.8,0,0
0,d_19070101,0,0,0,0,0,0,100,100,100,100,44.1
0,d_19070201,0,0,0,0,0,0,100,100,97.6,0.3,0
0,d_19070301,0,0,0,0,0,0,100,100,100,91.8,0
0,d_19070401,0,0,0,0,0,0,100,100,100,34,0
0,d_19070501,0,0,0,0,0,0,100,100,100,19.6,0
0,d_19070601,0,0,0,0,0,0,100,100,100,28.6,0
0,d_19070701,0,0,0,0,0,0,100,100,100,80.8,0
0,d_19070801,0,0,0,0,0,0,100,100,100,95.7,0
0,d_19070901,0,0,0,0,0,0,100,100,31.6,0,0
0,d_19071001,0,0,0,0,0,0,100,1.3,0,0,0
0,d_19071101,0,0,0,0,0,0,100,93.1,0,0,0
30.8,d_19071201,69.2,0.2,0,0,0,0,0,0,0,0,0
100,d_19080101,0,0,0,0,0,0,0,0,0,0,0
64,d_19080201,0,0,0,0,0,0,36,0,0,0,0
100,d_19080301,0,0,0,0,0,0,0,0,0,0,0
100,d_19080401,0,0,0,0,0,0,0,0,0,0,0
100,d_19080501,0,0,0,0,0,0,0,0,0,0,0
100,d_19080601,0,0,0,0,0,0,0,0,0,0,0
97,d_19080701,3,0,0,0,0,0,0,0,0,0,0
100,d_19080801,0,0,0,0,0,0,0,0,0,0,0
100,d_19080901,0,0,0,0,0,0,0,0,0,0,0
100,d_19081001,0,0,0,0,0,0,0,0,0,0,0
13.7,d_19081101,86.3,44.6,0,0,0,0,0,0,0,0,0
100,d_19081201,0,0,0,0,0,0,0,0,0,0,0
0,d_19090101,0,0,0,0,0,0,99.9,94.5,0,0,0
0,d_19090201,0,0,0,0,0,0,100,100,31.3,0,0
0,d_19090301,0,0,0,0,0,0,100,100,48.5,0.4,0
